site,name,prov,type,lon,lat,alt,I,moveTimes,tag,period_date_begin,period_date_end,date_begin,date_end,n_all,n_period
54186,敦化,吉林,基准站,128.2,43.36666666666667,523.7,2785,5,4,1959-01-01,2002-08-31,1953-01-01,2018-12-31,24106,15949
54187,安图,吉林,一般站,128.91666666666666,43.11666666666667,366.6,2789,3,3,1991-11-01,2018-12-31,1959-06-01,2018-12-31,21764,9923
54192,罗子沟,吉林,一般站,130.25,43.7,466.8,2792,4,3,1983-10-01,2008-12-31,1957-12-01,2018-12-31,22311,9224
54195,汪清,吉林,基本站,129.76666666666668,43.333333333333336,241.7,2795,3,2,1959-01-01,2002-12-31,1957-01-01,2018-12-31,22645,16071
54204,正镶白旗,内蒙古,一般站,115.0,42.3,1346.3,2800,5,4,1982-06-01,2017-11-30,1959-07-01,2018-12-31,21734,12967
54205,正蓝旗,内蒙古,一般站,115.98333333333333,42.25,1300.1,2804,4,3,1971-08-01,2004-12-31,1959-05-01,2018-12-31,21795,12207
54208,多伦县,内蒙古,基准站,116.46666666666667,42.18333333333333,1245.4,2808,6,3,1971-08-01,2013-12-31,1952-06-01,2018-12-31,24320,15494
54209,御道口,河北,,116.7,42.3,1323.0,2813,5,2,1962-07-01,1980-10-31,1956-01-01,1998-03-31,15431,6698
54213,翁牛特旗,内蒙古,基本站,119.03333333333333,42.95,631.9,2818,3,2,1961-01-01,1983-09-30,1956-12-01,2018-12-31,22676,8308
54214,岗子,内蒙古,一般站,118.41666666666667,42.583333333333336,960.0,2821,1,1,1959-04-01,2018-12-31,1959-04-01,2018-12-31,21825,21825
54218,赤峰,内蒙古,基准站,118.96666666666667,42.266666666666666,571.1,2825,7,4,1961-01-01,1993-12-31,1951-01-01,2018-12-31,24837,12053
54223,奈曼,内蒙古,一般站,120.65,42.85,362.9,2830,2,2,1960-06-01,2018-12-31,1959-01-01,2018-12-31,21915,21398
54225,敖汉旗,内蒙古,一般站,119.91666666666667,42.28333333333333,588.2,2834,5,4,1983-11-01,2013-12-31,1956-12-01,2018-12-31,22676,11019
54226,宝国吐,内蒙古,基本站,120.7,42.333333333333336,400.5,2837,2,2,1961-01-01,2018-12-31,1956-12-01,2018-12-31,22676,21184
54231,科左后旗,内蒙古,一般站,122.35,42.96666666666667,248.1,2842,6,5,1983-09-01,2016-12-31,1959-01-01,2018-12-31,21915,12176
